ID,Metadata,Text,Label
707413239630528512,"['elections', 'Clinton', 'Ohio']",on march 15 they re states where clinton is winning by 10 15 20 points ohio illinois big states which clinton needs to win now wide open,UC
591638513692577793,"['NFL draft', 'Winston', 'Buccaneers']",nfl draft prediction the buccaneers pass on mariota and winston and take thereal donaghy 1st overall,PN
726716560606420993,"['elections', 'Cruz', 'Indiana']",indiana primary is do or die for ted cruz and he may just win via nypost,PY
592883033524547584,"['NFL draft', 'Fowler', 'Jets']",less than 3 days from the nfldraft still believe the jets best option is trade down unless cooper williams or fowler there nyj,PY
568054185427492864,"['Oscars', 'Boyhood ']",why boyhood should not and birdman should win the oscar for bestpicture eddieredmayne juliannemoore oscars,UC
723369003012345856,"['NFL draft', 'Doctson', 'Vikings']",nfl rumors minnesota vikings selecting josh doctson in nfl draft the inquisitr minnesota vikings,PY
62225720516149248,"['NFL draft', 'Smith', 'Rams']",nfl draft 2011 aldon smith s 2011 nfl draft profile for the st louis rams what you are about to read is an a,UC
194196439272923136,"['NFL draft', 'Poe', 'Chiefs']",nfl draft 2012 chiefs linked to two most overrated prospects in ryan dontari poe wowed everyone at the n,UC
701528195493801984,"['elections', 'Cruz', 'Texas']",chucktodd we are sure cruz will win texas don t get so happy when u doubt cruz cruzcrew texans,DY
462111276668186625,"['NFL draft', 'Manziel', 'Cowboys']",dallas cowboys reportedly showing interest in johnny manziel via si nfl,PY
463350351807414273,"['NFL draft', 'Ford', 'Chiefs']",sportsbysharona dee ford cyril richardson jaylen watkins de anthony thomas aaron lynch and tyler starr nfldraft chiefs,UC
438791473497407488,"['Oscars', '12 Years a Slave ']",eonline enews chiwetel s soulful indelible performance in 12 years a slave should win but matthew will win best actor oscars,PN
326919525364805632,"['NFL draft', 'Fisher', 'Chiefs']",no surprise as get close to nfldraft appears if chiefs can t deal branden albert eric fisher will be 1st pick per jasonlacanfora kc,UC
701691679368056836,"['elections', 'Trump', 'Nevada']",trump rubio 2016 trump will win nevada and the great state of fla trump making nevada great again winning,DY
439227034863034368,"['Oscars', 'Matthew McConaughey ']",stop being so good in dallas buyers club matthew mcconaughey i really want leo to win oscars,PY
723300922240061441,"['NFL draft', 'Treadwell', 'Vikings']",nfldraft vikings laquon treadwell could giants pluck him off the board at 10,UC
194407504254476288,"['NFL draft', 'Coples', 'Cowboys']",2012 nfl draft should dallas cowboys eye quinton coples the dallas cowboys have their share of players to con,UC
693508788918296576,"['elections', 'Cruz', 'Iowa']",internal data of recent polls reveal big cruz win in iowa will schlong trump,DY
461594205249224704,"['NFL draft', 'Clowney', 'Raiders']",robinson or matthews csnraiders poll if clowney mack amp watkins are gone by 5 i want raiders to draft in nfldraft,UC
703120865475448832,"['Oscars', 'Leonardo DiCaprio ']",will leonardo dicaprio win oscars this year reasons why he s never won,UC
195255765345378305,"['NFL draft', 'Griffin', 'Redskins']",2012 nfl draft coverage robert griffin iii washington redskins fantasyfootball,UC
709466982677127168,"['elections', 'Trump', 'Florida']",trump town hall in tampa fl if we win florida amp ohio i can start going after hillary not each other votetrump florida ohio,UC
195172420703887362,"['NFL draft', 'Reiff', 'Eagles']",with the 15th pick in the nfl draft eagles select riley reiff,DY
194250271436713984,"['NFL draft', 'Griffin', 'Redskins']",nfl draft on thursday robert griffin lll to the washington redskins,DY
708067782475251713,"['elections', 'Kasich', 'Ohio']",come on ohio john kasich cannot win he doesn t have enough don t waste your vote vote realdonaldtrump makeamericagreatagain,DN
62197773780529152,"['NFL draft', 'Miller', 'Rams']",nfl rams rams gab 2011 nfl draft prospect scouting report olb von miller rams gab by abe munch von miller,UC
195108438802571264,"['NFL draft', 'Gilmore', 'Panthers']",and ijs nobody cares about panthers rt akathebridge nfl draft tomorrow looking like the panthers are projected to take gilmore,PY
738475360145289217,"['elections', 'Clinton', 'California']",a berniesanders win in the californiaprimary could mean summer of agony 4 hillaryclinton via usatoday vtpoli,UC
737476411531743234,"['elections', 'Clinton', 'California']",five things clinton needs to do to win california,UC
724815838226829314,"['NFL draft', 'Goff', 'Rams']",nfl rams mock draft assuming goff goes 1 larams rams nfldraft,PY
709026069853044736,"['elections', 'Rubio', 'Florida']",tuu i yoo rubio adamant he can win florida some pollsters somewhere are going to have explain why t,UC
707425627754905600,"['elections', 'Sanders', 'Illinois']",if sanders builds momentum off this michigan win he could conceivably sweep the midwest lots of delegates in penn ohio illinois,PY
593466792246452226,"['NFL draft', 'Williams', 'Jets']",giants news 2015 nfl draft could both giants and jets be in the mix for usc s leonard williams a nfceast,UC
696377163277271040,"['elections', 'Trump', 'New Hampshire']",donald trump i don t have to win new hampshire primary via youtube,PN
694556573524475908,"['elections', 'Santorum', 'New Hampshire']",othergroundhogpredictions rick santorum will win a surprise upset in new hampshire go home groundhog you re drunk,DN
172833939113771008,"['Oscars', 'Jean Dujardin ']",i wonder if jean dujardin and the artist costars will celebrate their oscars best picture win on sunday with a moment of silence,DY
708151052671934464,"['elections', 'Trump', 'Ohio']",i m going to win ohio kasich i m going to win florida rubio i m going to win texas again cruz i m going to win the world trump gop,UC
464164734104010753,"['NFL draft', 'Beckham', 'Giants']",nfl draft 2014 rueben randle tells odell beckham that giants are looking at him,PY
