ID,Metadata,Text,Label
707413239630528512,"['elections', 'Clinton', 'Ohio']","On March 15 they're states where Clinton is winning by 10 15 20 points. Ohio, Illinois, big states which Clinton NEEDS to win now wide open",UC
591638513692577793,"['NFL draft', 'Winston', 'Buccaneers']",NFL draft prediction: The Buccaneers pass on Mariota and Winston and take @TheReal_Donaghy 1st overall,PN
726716560606420993,"['elections', 'Cruz', 'Indiana']","Indiana primary is do-or-die for Ted Cruz — and he may just win via @NYPost

 https://t.co/BcxBj1ZWP0",PY
592883033524547584,"['NFL draft', 'Fowler', 'Jets']",Less than 3 days from the #NFLDraft still believe the #Jets best option is trade down unless Cooper Williams or Fowler there. #nyj,PY
568054185427492864,"['Oscars', 'Boyhood ']",Why #Boyhood should not and #Birdman should win the #Oscar for #BestPicture: http://t.co/9nQX2a2ALT #EddieRedmayne #JulianneMoore  #Oscars,UC
723369003012345856,"['NFL draft', 'Doctson', 'Vikings']","NFL Rumors: Minnesota Vikings Selecting Josh Doctson In NFL Draft - The Inquisitr https://t.co/RgMrfOXBMN Minnesota, Vikings",PY
62225720516149248,"['NFL draft', 'Smith', 'Rams']",NFL Draft 2011: Aldon Smith's 2011 NFL Draft Profile for the St. Louis Rams: (What you are about to read is an a... http://bit.ly/dEJ4lK,UC
194196439272923136,"['NFL draft', 'Poe', 'Chiefs']",NFL Draft 2012: Chiefs Linked To Two 'Most Overrated' Prospects In Ryan ...: Dontari Poe wowed everyone at the N... http://t.co/FjkkRSta,UC
701528195493801984,"['elections', 'Cruz', 'Texas']","@chucktodd We are ""sure"" Cruz will win Texas. Don't get so happy when u doubt Cruz. #CruzCrew #Texans",DY
462111276668186625,"['NFL draft', 'Manziel', 'Cowboys']",Dallas Cowboys reportedly showing interest in Johnny Manziel - http://t.co/tfeI76Xr8d via @si_nfl,PY
463350351807414273,"['NFL draft', 'Ford', 'Chiefs']","@SportsbySharona Dee Ford, Cyril Richardson, Jaylen Watkins, De'Anthony Thomas, Aaron Lynch, and Tyler Starr #NFLDraft #Chiefs",UC
438791473497407488,"['Oscars', '12 Years a Slave ']","@eonline @ENews Chiwetel's soulful, indelible performance in 12 Years a Slave SHOULD win, but Matthew will win Best Actor. #Oscars",PN
326919525364805632,"['NFL draft', 'Fisher', 'Chiefs']","NO SURPRISE: As get close to #NFLDraft, appears if #Chiefs can't deal Branden Albert, Eric Fisher will be 1st pick per @JasonLaCanfora #KC",UC
701691679368056836,"['elections', 'Trump', 'Nevada']",Trump/Rubio 2016!! Trump will win Nevada and the great state of Fla. Trump 😇😇 making Nevada great again. Winning.... https://t.co/RyvfWR76GX,DY
439227034863034368,"['Oscars', 'Matthew McConaughey ']",Stop being so good in Dallas Buyers Club Matthew McConaughey I really want Leo to win.  #Oscars,PY
723300922240061441,"['NFL draft', 'Treadwell', 'Vikings']",#NFLDraft #Vikings Laquon Treadwell: Could Giants pluck him off the board at 10? https://t.co/OxyScFeJc4 https://t.co/lwIh1ENwN6,UC
194407504254476288,"['NFL draft', 'Coples', 'Cowboys']",2012 NFL Draft: Should Dallas Cowboys Eye Quinton Coples?: The Dallas Cowboys have their share of players to con... http://t.co/6QvQucl4,UC
693508788918296576,"['elections', 'Cruz', 'Iowa']",Internal Data of recent polls reveal BIG #Cruz  win in Iowa. Will SCHLONG #Trump https://t.co/ceZG4JinBw,DY
461594205249224704,"['NFL draft', 'Clowney', 'Raiders']","Robinson or Matthews. ""@CSNRaiders: POLL: If Clowney, Mack &amp; Watkins are gone by #5 I want #Raiders to draft______ in #NFLDraft.""",UC
703120865475448832,"['Oscars', 'Leonardo DiCaprio ']",Will Leonardo DiCaprio Win Oscars This Year? Reasons Why He's Never Won! https://t.co/J5IAfHxH5r https://t.co/11zDKXOvxS,UC
195255765345378305,"['NFL draft', 'Griffin', 'Redskins']","2012 NFL Draft Coverage - Robert Griffin III, Washington Redskins http://t.co/n6dAMsKG #FantasyFootball",UC
709466982677127168,"['elections', 'Trump', 'Florida']","Trump (Town Hall in Tampa, FL) If we win Florida &amp; Ohio I can start going after Hillary, not each other. #VoteTrump #Florida #Ohio",UC
195172420703887362,"['NFL draft', 'Reiff', 'Eagles']","With the 15th pick in the NFL draft, Eagles select..........Riley Reiff: http://t.co/WmY4rh9s",DY
194250271436713984,"['NFL draft', 'Griffin', 'Redskins']","NFL Draft on Thursday, Robert Griffin lll to the Washington Redskins.",DY
708067782475251713,"['elections', 'Kasich', 'Ohio']",Come on #Ohio John Kasich cannot win!! He doesn't have enough Don't waste your vote!!!  Vote @realDonaldTrump #MakeAmericaGreatAgain,DN
62197773780529152,"['NFL draft', 'Miller', 'Rams']","#nfl #rams Rams Gab 2011 NFL Draft Prospect Scouting Report – OLB Von Miller: Rams Gab » By Abe Munch
Von Miller... http://bit.ly/f08Z3W",UC
195108438802571264,"['NFL draft', 'Gilmore', 'Panthers']",And ijs nobody cares about Panthers RT @akaTheBridge: NFL Draft Tomorrow! Looking like the @Panthers are projected to take Gilmore.,PY
738475360145289217,"['elections', 'Clinton', 'California']",A #BernieSanders win in the #CaliforniaPrimary could mean 'summer of agony' 4 #HillaryClinton https://t.co/kTbLvkPjbA via @usatoday #vtpoli,UC
